ZCTA5CE20,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,Total
10001, $500.00 , $-   , $-   , $-   , $-   , $500.00 
11218, $300.00 , $-   , $-   , $-   , $-   , 300.00 
15250," $4,356.37 "," $4,146.88 "," $12,746.74 "," $2,970.27 "," $3,349.48 "," 27,569.74 "
15251," $5,490.33 "," $5,033.60 "," $6,347.94 "," $6,372.78 ", $321.66 ," 23,566.31 "
19101," $8,563.09 "," $10,879.96 "," $10,109.00 "," $9,018.92 "," $11,244.04 "," 49,815.01 "
19170, $-   , $-   , $-   , $69.34 , $-   , 69.34 
19310, $-   , $-   , $-   , $-   , $120.11 , 120.11 
20005, $-   , $-   , $-   , $300.00 , $-   , 300.00 
22203, $-   , $-   , $-   , $-   ," $4,500.00 "," 4,500.00 "
23462," $3,730.83 ", $665.00 , $-   , $-   , $-   ," 4,395.83 "
27516, $-   , $-   ," $10,076.87 "," $25,258.34 "," $7,066.71 "," 42,401.92 "
28201, $8.12 , $-   , $-   , $-   , $-   , 8.12 
28950, $-   , $-   , $-   , $-   , $600.00 , 600.00 
30384," $2,184.00 ", $-   , $-   , $150.00 , $-   ," 2,334.00 "
37212, $-   , $-   ," $11,000.00 ", $-   , $-   ," 11,000.00 "
40290," $4,145.83 "," $3,385.41 "," $8,517.07 "," $3,940.22 "," $1,789.15 "," 21,777.68 "
45263, $514.19 , $41.21 , $-   , $-   , $-   , 555.40 
45271, $-   , $583.50 , $-   , $-   , $420.00 ," 1,003.50 "
48195, $458.12 , $-   , $-   , $-   , $-   , 458.12 
53201, $100.00 , $100.00 , $100.00 , $-   , $200.00 , 500.00 
55480, $102.00 , $20.99 , $-   , $7.07 ," $1,652.84 "," 1,782.90 "
60197," $14,148.45 "," $3,306.36 "," $5,613.27 "," $7,309.63 "," $10,835.60 "," 41,213.31 "
60628, $-   , $-   , $-   ," $1,616.04 ", $12.90 ," 1,628.94 "
60673," $51,780.15 "," $61,673.63 "," $65,745.56 "," $63,805.27 "," $96,744.57 "," 339,749.18 "
60674, $435.00 , $-   , $-   , $-   , $-   , 435.00 
60680, $-   , $170.00 , $-   , $-   ," $1,908.62 "," 2,078.62 "
61402, $608.14 , $-   , $-   , $-   , $-   , 608.14 
63150, $-   , $-   ," $1,185.81 ", $315.38 , $200.40 ," 1,701.59 "
64180, $-   , $-   ," $23,400.18 "," $11,575.00 "," $7,376.78 "," 42,351.96 "
70149, $-   , $-   , $-   ," $1,247.50 ", $-   ," 1,247.50 "
75081, $-   , $-   , $-   ," $1,806.68 ", $-   ," 1,806.68 "
75089, $403.64 , $-   , $-   , $-   , $-   , 403.64 
75115, $205.75 , $-   , $-   , $-   , $-   , 205.75 
75211, $800.00 , $-   , $-   , $-   , $-   , 800.00 
75219, $-   , $-   , $-   , $-   , $200.00 , 200.00 
75235," $1,648.24 ", $-   , $-   ," $1,426.90 ", $493.96 ," 3,569.10 "
75248," $5,213.00 "," $3,293.00 "," $3,542.51 "," $7,994.68 "," $7,747.10 "," 27,790.29 "
75265," $12,233.34 "," $10,373.83 "," $10,725.53 "," $9,826.17 "," $10,839.20 "," 53,998.07 "
75266," $1,573.49 ", $4.74 , $339.53 , $371.87 , $-   ," 2,289.63 "
76101, $-   , $-   , $-   ," $2,431.20 "," $2,240.22 "," 4,671.42 "
76504, $-   , $-   , $-   , $504.00 , $-   , 504.00 
77004, $-   , $-   , $-   , $-   , $300.00 , 300.00 
77005, $-   , $-   , $-   , $600.00 , $-   , 600.00 
77006, $-   , $-   ," $1,000.00 ", $-   , $-   ," 1,000.00 "
77013, $-   , $-   , $475.00 , $600.00 , $-   ," 1,075.00 "
77018, $778.50 , $-   , $432.00 ," $12,810.00 "," $14,000.00 "," 28,020.50 "
77066, $90.00 , $-   , $-   , $-   , $-   , 90.00 
77091, $-   , $-   , $-   , $75.00 , $-   , 75.00 
77099, $400.00 , $-   , $-   , $-   , $-   , 400.00 
77204, $-   , $-   , $-   , $-   ," $1,076.94 "," 1,076.94 "
77433, $-   , $-   ," $7,944.69 "," $11,800.00 "," $37,265.00 "," 57,009.69 "
77437, $200.00 , $-   , $-   , $-   , $-   , 200.00 
77469," $1,300.00 ", $-   , $-   , $-   , $-   ," 1,300.00 "
77843, $-   , $-   , $-   , $-   , $357.22 , 357.22 
78002, $-   , $-   ," $1,337.50 "," $1,500.00 ", $-   ," 2,837.50 "
78006," $1,000.00 ", $-   , $-   , $-   ," $3,085.51 "," 4,085.51 "
78013, $-   , $-   , $-   ," $1,760.00 ", $680.00 ," 2,440.00 "
78017," $7,000.00 ", $-   , $-   , $-   , $-   ," 7,000.00 "
78023, $-   ," $9,150.00 "," $25,750.00 "," $32,200.00 "," $1,800.00 "," 68,900.00 "
78043," $1,000.00 ", $-   , $-   , $355.92 , $650.00 ," 2,005.92 "
78045, $700.00 , $-   , $-   , $-   , $-   , 700.00 
78052, $-   , $-   , $-   , $-   , $400.00 , 400.00 
78065, $50.00 , $-   , $-   , $-   , $300.00 , 350.00 
78069, $-   , $-   , $-   , $240.00 , $940.00 ," 1,180.00 "
78108, $-   , $-   , $-   , $-   , $469.00 , 469.00 
78109, $-   , $-   , $-   ," $4,135.00 "," $6,590.00 "," 10,725.00 "
78112," $1,000.00 ", $-   , $125.00 , $300.00 , $240.00 ," 1,665.00 "
78114, $650.00 , $-   , $-   , $-   , $380.00 ," 1,030.00 "
78148, $-   , $-   , $-   ," $1,375.00 "," $1,550.00 "," 2,925.00 "
78154, $-   , $-   , $250.00 , $-   , $-   , 250.00 
78200, $-   , $-   , $-   , $200.00 , $200.00 , 400.00 
78201," $41,975.79 "," $7,588.97 "," $24,927.61 "," $33,236.00 "," $50,004.50 "," 157,732.87 "
78202," $6,667.00 ", $-   , $106.00 , $300.00 , $211.31 ," 7,284.31 "
78203, $-   , $-   , $150.00 , $150.00 , $-   , 300.00 
78204," $15,339.15 "," $5,038.75 "," $7,727.06 "," $16,244.54 "," $10,352.61 "," 54,702.11 "
78205," $1,162.94 ", $-   , $5.00 , $-   , $-   ," 1,167.94 "
78207," $108,463.61 "," $75,787.59 "," $86,997.35 "," $111,408.28 "," $119,798.52 "," 502,455.35 "
78208," $1,525.50 ", $-   , $-   ," $2,950.00 "," $3,515.00 "," 7,990.50 "
78209," $2,167.29 ", $366.90 ," $1,248.79 "," $3,303.50 "," $4,122.35 "," 11,208.83 "
78210," $12,468.58 "," $15,414.52 "," $12,159.83 "," $5,677.00 "," $15,158.99 "," 60,878.92 "
78211," $2,500.00 ", $-   ," $3,000.00 "," $6,429.00 "," $8,441.50 "," 20,370.50 "
78212," $20,937.39 "," $6,537.37 "," $7,725.00 "," $7,804.64 "," $6,586.60 "," 49,591.00 "
78213," $8,960.58 "," $3,142.87 "," $3,003.26 "," $4,803.83 "," $3,660.00 "," 23,570.54 "
78214," $2,553.54 ", $-   ," $6,218.60 "," $15,456.00 "," $22,793.50 "," 47,021.64 "
78215, $358.44 , $-   , $539.82 ," $2,540.00 ", $450.00 ," 3,888.26 "
78216," $72,343.88 "," $69,710.25 "," $116,253.65 "," $120,091.55 "," $142,076.70 "," 520,476.03 "
78217," $7,812.50 ", $-   , $196.83 , $432.50 , $240.00 ," 8,681.83 "
78218, $504.56 , $250.69 , $218.26 , $187.32 , $265.74 ," 1,426.57 "
78219," $14,165.00 ", $-   , $-   , $-   , $-   ," 14,165.00 "
78220," $30,200.00 "," $41,670.03 ", $-   ," $1,422.60 "," $20,091.66 "," 93,384.29 "
78221," $4,600.00 ", $-   ," $3,843.49 "," $9,936.71 "," $1,442.55 "," 19,822.75 "
78222, $-   , $-   ," $1,500.00 ", $-   , $330.00 ," 1,830.00 "
