ZIP,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,Total,Lon,Lat
10001,500,0,0,0,0,500,-73.99729774,40.75064875
11218,300,0,0,0,0,300,-73.97644588,40.64311991
15250,4356.37,4146.88,12746.74,2970.27,3349.48,27569.74,-79.9962967,40.440892
15251,5490.33,5033.6,6347.94,6372.78,321.66,23566.31,-79.9599961,40.4399893
19101,8563.09,10879.96,10109,9018.92,11244.04,49815.01,-75.1625203,39.9522647
19170,0,0,0,69.34,0,69.34,-75.159996,39.9500134
19310,0,0,0,0,120.11,120.11,-75.97040729,39.93476972
20005,0,0,0,300,0,300,-77.03159738,38.9044377
22203,0,0,0,0,4500,4500,-77.11641807,38.87377673
23462,3730.83,665,0,0,0,4395.83,-76.15105596,36.83661365
27516,0,0,10076.87,25258.34,7066.71,42401.92,-79.15155864,35.91238527
28201,8.12,0,0,0,0,8.12,-80.9247176,35.2294509
30384,2184,0,0,150,0,2334,-84.3899975,33.7500018
37212,0,0,11000,0,0,11000,-86.80168788,36.13377277
40290,4145.83,3385.41,8517.07,3940.22,1789.15,21777.68,-85.7499962,38.2599971
45263,514.19,41.21,0,0,0,555.4,-84.5399875,39.1100052
45271,0,583.5,0,0,420,1003.5,-84.5400004,39.110024
48195,458.12,0,0,0,0,458.12,-83.2056855,42.20470523
53201,100,100,100,0,200,500,-87.9199903,43.030018
55480,102,20.99,0,7.07,1652.84,1782.9,-93.2599919,44.9800057
60197,14148.45,3306.36,5613.27,7309.63,10835.6,41213.31,-88.1199923,41.9200082
60628,0,0,0,1616.04,12.9,1628.94,-87.61830515,41.69161389
60673,51780.15,61673.63,65745.56,63805.27,96744.57,339749.18,-87.639994,41.8800258
60674,435,0,0,0,0,435,-87.6299935,41.8799942
60680,0,170,0,0,1908.62,2078.62,-87.639994,41.8800017
61402,608.14,0,0,0,0,608.14,-90.40635392,40.93990252
63150,0,0,1185.81,315.38,200.4,1701.59,-90.2100126,38.6300084
64180,0,0,23400.18,11575,7376.78,42351.96,-94.5899831,39.0800327
75081,0,0,0,1806.68,0,1806.68,-96.70899305,32.94969006
75089,403.64,0,0,0,0,403.64,-96.54439242,32.93194257
75115,205.75,0,0,0,0,205.75,-96.86433252,32.5983055
75211,800,0,0,0,0,800,-96.90216443,32.73648917
75219,0,0,0,0,200,200,-96.81320298,32.81090297
75235,1648.24,0,0,1426.9,493.96,3569.1,-96.8479806,32.83218036
75248,5213,3293,3542.51,7994.68,7747.1,27790.29,-96.79540098,32.96958232
75265,12233.34,10373.83,10725.53,9826.17,10839.2,53998.07,-96.7999806,32.7800401
75266,1573.49,4.74,339.53,371.87,0,2289.63,-96.7999914,32.779996
76101,0,0,0,2431.2,2240.22,4671.42,-97.329188,32.7465995
76504,0,0,0,504,0,504,-97.37748276,31.14134626
77004,0,0,0,0,300,300,-95.36499552,29.72476176
77005,0,0,0,600,0,600,-95.42414711,29.71825276
77006,0,0,1000,0,0,1000,-95.39130306,29.74086086
77013,0,0,475,600,0,1075,-95.23892203,29.79513699
77018,778.5,0,432,12810,14000,28020.5,-95.42574027,29.8270671
77066,90,0,0,0,0,90,-95.50278625,29.95713196
77091,0,0,0,75,0,75,-95.439747,29.8538582
77099,400,0,0,0,0,400,-95.58482919,29.67068955
77204,0,0,0,0,1076.94,1076.94,-95.34351574,29.72169093
77433,0,0,7944.69,11800,37265,57009.69,-95.73979254,29.94916976
77437,200,0,0,0,0,200,-96.27322375,29.20440394
77469,1300,0,0,0,0,1300,-95.70569951,29.49227689
77843,0,0,0,0,357.22,357.22,-96.34023391,30.61532933
78002,0,0,1337.5,1500,0,2837.5,-98.73651149,29.28304338
78006,1000,0,0,0,3085.51,4085.51,-98.71368502,29.86855943
78013,0,0,0,1760,680,2440,-98.90646453,29.97788469
78017,7000,0,0,0,0,7000,-99.20454916,28.72452438
78023,0,9150,25750,32200,1800,68900,-98.75442322,29.61547542
78043,1000,0,0,355.92,650,2005.92,-99.27452032,27.54031483
78045,700,0,0,0,0,700,-99.65950816,27.83175987
78052,0,0,0,0,400,400,-98.77427471,29.20582284
78065,50,0,0,0,300,350,-98.64433944,29.08150007
78069,0,0,0,240,940,1180,-98.68044749,29.18973482
78108,0,0,0,0,469,469,-98.22068473,29.57351839
78109,0,0,0,4135,6590,10725,-98.29297871,29.47974539
78112,1000,0,125,300,240,1665,-98.37266021,29.2135074
78114,650,0,0,0,380,1030,-98.19710243,29.1211435
78148,0,0,0,1375,1550,2925,-98.296071,29.54330095
78154,0,0,250,0,0,250,-98.26574739,29.54771013
78201,41975.79,7588.97,24927.61,33236,50004.5,157732.87,-98.52856092,29.46897375
78202,6667,0,106,300,211.31,7284.31,-98.46078678,29.42822351
78203,0,0,150,150,0,300,-98.4593352,29.41512444
78204,15339.15,5038.75,7727.06,16244.54,10352.61,54702.11,-98.50366481,29.40324514
78205,1162.94,0,5,0,0,1167.94,-98.48639245,29.42361668
78207,108463.61,75787.59,86997.35,111408.28,119798.52,502455.35,-98.52542547,29.4222497
78208,1525.5,0,0,2950,3515,7990.5,-98.4581055,29.4398746
78209,2167.29,366.9,1248.79,3303.5,4122.35,11208.83,-98.45674084,29.48901187
78210,12468.58,15414.52,12159.83,5677,15158.99,60878.92,-98.46436653,29.39597248
78211,2500,0,3000,6429,8441.5,20370.5,-98.56326967,29.34642863
78212,20937.39,6537.37,7725,7804.64,6586.6,49591,-98.49219975,29.46452906
78213,8960.58,3142.87,3003.26,4803.83,3660,23570.54,-98.52359413,29.51742906
78214,2553.54,0,6218.6,15456,22793.5,47021.64,-98.47963565,29.34937998
78215,358.44,0,539.82,2540,450,3888.26,-98.48029251,29.44044558
78216,72343.88,69710.25,116253.65,120091.55,142076.7,520476.03,-98.48999483,29.53638557
78217,7812.5,0,196.83,432.5,240,8681.83,-98.42098848,29.54076517
78218,504.56,250.69,218.26,187.32,265.74,1426.57,-98.39949029,29.49355454
78219,14165,0,0,0,0,14165,-98.38459389,29.44136721
78220,30200,41670.03,0,1422.6,20091.66,93384.29,-98.40153069,29.41309074
78221,4600,0,3843.49,9936.71,1442.55,19822.75,-98.47529135,29.2809419
78222,0,0,1500,0,330,1830,-98.38334638,29.36788655
78223,35266,8095,11139.6,9295.5,7524.66,71320.76,-98.38675031,29.31098614
78224,38800.38,22322.46,3990,32300.65,30240.06,127653.55,-98.53753773,29.30831052
78225,1027.5,5141.12,5552.5,4949.1,5550,22220.22,-98.5258459,29.38796698
78226,90.93,37.34,1387.88,873.4,943.14,3332.69,-98.5688561,29.38439381
78227,53414.05,5532.79,3470.24,8615.89,10547,81579.97,-98.64023691,29.39650522
78228,21868.85,3477.9,17676.55,18600.23,20884.44,82507.97,-98.57202153,29.46074692
78229,0,0,14215.01,7309,800,22324.01,-98.57257946,29.50558214
78230,11545,29198.73,15648.35,5471.34,6755.65,68619.07,-98.55570755,29.545478
